#SampleID	alias	Compartment	Mesocosm	Sample_type	Water_type	Time	Sampling_date	Seq_data
MI.M05812_0379.001.FLD_ill_157_i7---IDT_i5_12.Mesocosm-8-Sep-1-2021	Mesocosm-8-Sep-1-2021	Water	Mesocosm_8	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_165_i7---IDT_i5_1.Mesocosm-9-Sep-1-2021	Mesocosm-9-Sep-1-2021	Water	Mesocosm_9	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_173_i7---IDT_i5_2.Mesocosm-10-Sep-1-2021	Mesocosm-10-Sep-1-2021	Water	Mesocosm_10	No_plant	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_181_i7---IDT_i5_3.Mesocosm-11-Sep-1-2021	Mesocosm-11-Sep-1-2021	Water	Mesocosm_11	No_plant	Artificial_OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0379.001.FLD_ill_189_i7---IDT_i5_4.Mesocosm-12-Sep-1-2021	Mesocosm-12-Sep-1-2021	Water	Mesocosm_12	Carex	OSPW	D42	01-09-2021	16-12-2022
MI.M05812_0392.001.FLD_ill_003_i7---IDT_i5_6.M1-13-10-21	M1-13.10.21	Water	Mesocosm_1	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_011_i7---IDT_i5_7.M2-13-10-21	M2-13.10.21	Water	Mesocosm_2	Carex	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_019_i7---IDT_i5_8.M3-13-10-21	M3-13.10.21	Water	Mesocosm_3	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_027_i7---IDT_i5_9.M4-13-10-21	M4-13.10.21	Water	Mesocosm_4	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_035_i7---IDT_i5_10.M5-13-10-21	M5-13.10.21	Water	Mesocosm_5	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_043_i7---IDT_i5_11.M6-13-10-21	M6-13.10.21	Water	Mesocosm_6	Carex	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_051_i7---IDT_i5_12.M7-13-10-21	M7-13.10.21	Water	Mesocosm_7	Carex	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_059_i7---IDT_i5_1.M8-13-10-21	M8-13.10.21	Water	Mesocosm_8	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_067_i7---IDT_i5_2.M9-13-10-21	M9-13.10.21	Water	Mesocosm_9	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_075_i7---IDT_i5_3.M10-13-10-21	M10-13.10.21	Water	Mesocosm_10	No_plant	OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_083_i7---IDT_i5_4.M11-13-10-21	M11-13.10.21	Water	Mesocosm_11	No_plant	Artificial_OSPW	D84	13-10-2021	20-03-2023
MI.M05812_0392.001.FLD_ill_091_i7---IDT_i5_5.M12-13-10-21	M12-13.10.21	Water	Mesocosm_12	Carex	OSPW	D84	13-10-2021	20-03-2023
