#SampleID;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;NA_concentration
120-Mesocosm-12-2-Exp1-TEST-Rhizo;120-Mesocosm-12-2-Exp1-TEST-Rhizo;Rhizosphere;Mesocosm_12;Carex;OSPW;D84;13-10-2021;23.4
120-Mesocosm-12-2-Exp1-TEST-Sed;120-Mesocosm-12-2-Exp1-TEST-Sed;Sediments;Mesocosm_12;Carex;OSPW;D84;13-10-2021;23.4
3-4-Mesocosm-2-1-2-2-Exp1-D-0-Rhizo;3-4-Mesocosm-2-1-2-2-Exp1-D-0-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D-0;14-07-2021;0.7
3-Mesocosm-2-1-Exp1-D-0-Sed;3-Mesocosm-2-1-Exp1-D-0-Sed;Sediments;Mesocosm_2;Carex;OSPW;D-0;14-07-2021;0.7
4-Mesocosm-2-2-Exp1-D-0-Sed;4-Mesocosm-2-2-Exp1-D-0-Sed;Sediments;Mesocosm_2;Carex;OSPW;D-0;14-07-2021;0.7
3-4-Mesocosm-2-1-2-2-Exp1-D-0-Racine;3-4-Mesocosm-2-1-2-2-Exp1-D-0-Racine;Roots;Mesocosm_2;Carex;OSPW;D-0;14-07-2021;0.7
51-Mesocosm-2-1-Exp1-D28-Racine;51-Mesocosm-2-1-Exp1-D28-Racine;Roots;Mesocosm_2;Carex;OSPW;D28;18-08-2021;59.8
51-Mesocosm-2-1-Exp1-D28-Rhizo;51-Mesocosm-2-1-Exp1-D28-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D28;18-08-2021;59.8
51-Mesocosm-2-1-Exp1-D28-Sed;51-Mesocosm-2-1-Exp1-D28-Sed;Sediments;Mesocosm_2;Carex;OSPW;D28;18-08-2021;59.8
52-Mesocosm-2-2-Exp1-D28-Racine;52-Mesocosm-2-2-Exp1-D28-Racine;Roots;Mesocosm_2;Carex;OSPW;D28;18-08-2021;59.8
52-Mesocosm-2-2-Exp1-D28-Rhizo;52-Mesocosm-2-2-Exp1-D28-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D28;18-08-2021;59.8
52-Mesocosm-2-2-Exp1-D28-Sed;52-Mesocosm-2-2-Exp1-D28-Sed;Sediments;Mesocosm_2;Carex;OSPW;D28;18-08-2021;59.8
75-Mesocosm-2-1-Exp1-D42-Racine;75-Mesocosm-2-1-Exp1-D42-Racine;Roots;Mesocosm_2;Carex;OSPW;D42;01-09-2021;40.6
75-Mesocosm-2-1-Exp1-D42-Rhizo;75-Mesocosm-2-1-Exp1-D42-Rhizo;Rhizosphere;Mesocosm_2;Carex;OSPW;D42;01-09-2021;40.6
